name,calories,fat,carbohydrate,sugars,protein
Dave's Single,524,29,37,8.2,28
Dave's Double,879,56,39,9.7,54
Dave's Triple,1195,80,41,10,77
Baconator,1001,66,38,8.5,63
Curry Bean Burger,535,25,57,9,17
Spicy Chicken,400,15,45,6.3,20
Classic Chicken,404,15,46,6.4,20
Grilled Chicken,337,10,35,6.4,26
Avocado Chicken Club,583,30,47,6.5,30
4 Pc Chicken Nuggets,114,5.6,4.9,0,11
6 Pc Chicken Nuggets,173,8.4,7.4,0,17
10 Pc Chicken Nuggets,286,14,12,0,28
20 Pc Chicken Nuggets,572,28,25,0,55
4 Pc Spicy Chicken Nuggets,99,2.8,6.5,0,12
6 Pc Spicy Chicken Nuggets,152,4.1,9.8,0,19
10 Pc Spicy Chicken Nuggets,250,6.8,16,0.6,31
20 Pc Spicy Chicken Nuggets,499,13,33,1.2,62
Spicy Chicken Mayo Wrap,341,20,27,1.5,12
Spicy Chicken Avocado Wrap,252,11,27,2.1,10
Crispy Chicken Curry Mayo Wrap,301,16,28,2.6,10
Spicy Chicken BBQ Wrap,268,9.7,32,5.8,12
Cheeseburger Deluxe,366,19,31,7.3,17
Bacon Cheeseburger,410,23,30,5.9,20
Caesar Chicken Salad,411,31,4.2,3.7,28
Avocado Chicken Salad,485,36,7.5,5.2,32
Value Fries,142,6.7,18,3.5,2
Medium Fries,176,8.5,22,3.7,2
Large Fries,239,11,31,6.8,3
Baconator Fries,459,34,25,2.6,12
Cheesy Topped Fries,351,24,25,2.5,7
Plain Potato,232,5.4,39,2.4,4
Bacon & Cheese Potato,405,20,40,3.8,14
Sour Cream and Chives Potato,233,5.4,39,3.4,5
Chili,253,13,14,3.5,19
